NORRBECK INSTRUMENTS - EXPENSE LEDGER, JANUARY-JUNE 2025
Amounts are in the original currency of the claim. Negative amounts are reversal entries.

TXN        | Date       | Employee | Amount       | Cur | Category  | Status   | Note
TXN-00229 | 2025-02-14 | E-1026   |       251.73 | EUR | MEALS     | APPROVED |
TXN-00255 | 2025-02-14 | E-1051   |       786.25 | EUR | CONF      | APPROVED |
TXN-00303 | 2025-02-14 | E-1055   |     2,127.61 | GBP | SOFTWARE  | APPROVED |
TXN-00306 | 2025-02-14 | E-1059   |        79.74 | CHF | SUPPLIES  | APPROVED |
TXN-00312 | 2025-02-14 | E-1001   |       270.02 | GBP | MEALS     | APPROVED |
TXN-00336 | 2025-02-14 | E-1034   |       224.29 | EUR | MEALS     | APPROVED |
TXN-00355 | 2025-02-14 | E-1030   |       899.97 | GBP | TRAVEL    | APPROVED |
TXN-00191 | 2025-02-15 | E-1043   |        81.25 | GBP | SUPPLIES  | APPROVED |
TXN-00206 | 2025-02-15 | E-1061   |     5,389.75 | CHF | EQUIPMENT | APPROVED |
TXN-00208 | 2025-02-15 | E-1001   |       811.03 | USD | TRAVEL    | APPROVED |
TXN-00218 | 2025-02-15 | E-1006   |       537.34 | EUR | CONF      | APPROVED |
TXN-00252 | 2025-02-15 | E-1071   |       922.26 | CHF | CONF      | APPROVED |
TXN-00264 | 2025-02-15 | E-1021   |     1,939.68 | EUR | SOFTWARE  | APPROVED |
TXN-00311 | 2025-02-15 | E-1084   |       247.61 | EUR | TRAINING  | APPROVED |
TXN-00334 | 2025-02-15 | E-1011   |        46.30 | EUR | MEALS     | APPROVED |
TXN-00222 | 2025-02-16 | E-1010   |       815.93 | EUR | TRAVEL    | APPROVED |
TXN-00234 | 2025-02-16 | E-1066   |     1,237.29 | EUR | TRAINING  | APPROVED |
TXN-00254 | 2025-02-16 | E-1028   |       431.85 | EUR | SUPPLIES  | APPROVED |
TXN-00272 | 2025-02-16 | E-1031   |     1,458.00 | EUR | SOFTWARE  | REJECTED |
TXN-00287 | 2025-02-16 | E-1012   |     1,012.68 | EUR | TRAVEL    | APPROVED |
TXN-00291 | 2025-02-16 | E-1005   |     1,960.43 | CHF | CONF      | APPROVED |
TXN-00302 | 2025-02-16 | E-1056   |       351.77 | USD | SUPPLIES  | APPROVED |
TXN-00304 | 2025-02-16 | E-1018   |     1,268.57 | EUR | CONF      | PENDING  |
TXN-00339 | 2025-02-16 | E-1046   |     1,970.83 | CHF | TRAINING  | APPROVED |
TXN-00354 | 2025-02-16 | E-1086   |     1,416.04 | EUR | SOFTWARE  | APPROVED |
TXN-00194 | 2025-02-17 | E-1038   |       712.41 | CHF | CONF      | APPROVED |
TXN-00299 | 2025-02-17 | E-1006   |       252.34 | EUR | SUPPLIES  | APPROVED |
TXN-00307 | 2025-02-17 | E-1027   |     1,080.25 | EUR | SOFTWARE  | APPROVED |
TXN-00356 | 2025-02-17 | E-1079   |     2,063.37 | EUR | TRAINING  | APPROVED |
TXN-00358 | 2025-02-17 | E-1057   |       611.44 | USD | CONF      | APPROVED |
TXN-00359 | 2025-02-17 | E-1036   |       280.59 | GBP | MEALS     | REJECTED |
TXN-00379 | 2025-02-17 | E-1053   |     1,588.72 | EUR | CONF      | PENDING  |
TXN-00197 | 2025-02-18 | E-1071   |     1,833.94 | GBP | CONF      | APPROVED |
TXN-00225 | 2025-02-18 | E-1055   |     1,111.57 | EUR | CONF      | APPROVED |
TXN-00241 | 2025-02-18 | E-1021   |     6,599.42 | GBP | EQUIPMENT | APPROVED |
TXN-00267 | 2025-02-18 | E-1047   |     1,823.59 | EUR | TRAINING  | APPROVED |
TXN-00296 | 2025-02-18 | E-1051   |       551.66 | GBP | TRAVEL    | APPROVED |
TXN-00298 | 2025-02-18 | E-1048   |       166.33 | GBP | MEALS     | PENDING  |
TXN-00335 | 2025-02-18 | E-1001   |     1,563.33 | USD | TRAINING  | APPROVED |
TXN-00377 | 2025-02-18 | E-1071   |     3,758.34 | EUR | EQUIPMENT | REJECTED |
TXN-00211 | 2025-02-19 | E-1083   |       306.22 | GBP | SOFTWARE  | APPROVED |
TXN-00283 | 2025-02-19 | E-1076   |     1,227.84 | EUR | CONF      | APPROVED |
TXN-00349 | 2025-02-19 | E-1028   |        96.22 | GBP | SUPPLIES  | REJECTED |
TXN-00204 | 2025-02-20 | E-1007   |     1,924.70 | EUR | EQUIPMENT | APPROVED |
TXN-00233 | 2025-02-20 | E-1002   |     7,620.87 | EUR | EQUIPMENT | REJECTED |
TXN-00256 | 2025-02-20 | E-1095   |       481.65 | GBP | SOFTWARE  | APPROVED |
TXN-00270 | 2025-02-20 | E-1041   |     5,235.17 | EUR | EQUIPMENT | APPROVED |
TXN-00273 | 2025-02-20 | E-1061   |        91.79 | USD | MEALS     | APPROVED |
TXN-00297 | 2025-02-20 | E-1023   |        93.80 | CHF | MEALS     | APPROVED |
TXN-00301 | 2025-02-20 | E-1041   |       538.92 | EUR | TRAVEL    | APPROVED |
TXN-00331 | 2025-02-20 | E-1057   |     1,061.47 | EUR | TRAINING  | PENDING  |
TXN-00378 | 2025-02-20 | E-1036   |       153.42 | EUR | SUPPLIES  | APPROVED |
TXN-00232 | 2025-02-21 | E-1006   |     6,717.38 | GBP | EQUIPMENT | APPROVED |
TXN-00269 | 2025-02-21 | E-1007   |     1,847.31 | CHF | SOFTWARE  | PENDING  |
TXN-00282 | 2025-02-21 | E-1086   |       301.29 | EUR | SUPPLIES  | APPROVED |
TXN-00288 | 2025-02-21 | E-1096   |       139.26 | USD | SUPPLIES  | APPROVED |
TXN-00329 | 2025-02-21 | E-1078   |     9,023.25 | USD | EQUIPMENT | APPROVED |
TXN-00332 | 2025-02-21 | E-1009   |       317.97 | EUR | TRAVEL    | PENDING  |
TXN-00333 | 2025-02-21 | E-1020   |     9,645.86 | EUR | EQUIPMENT | APPROVED |
TXN-00257 | 2025-02-22 | E-1056   |     1,900.83 | EUR | CONF      | APPROVED |
TXN-00258 | 2025-02-22 | E-1011   |       814.42 | USD | TRAINING  | APPROVED |
TXN-00293 | 2025-02-22 | E-1059   |     2,406.41 | EUR | EQUIPMENT | PENDING  |
TXN-00308 | 2025-02-22 | E-1052   |       806.01 | EUR | CONF      | APPROVED |
TXN-00322 | 2025-02-22 | E-1014   |       383.24 | CHF | TRAINING  | APPROVED |
TXN-00344 | 2025-02-22 | E-1030   |     8,933.53 | EUR | EQUIPMENT | APPROVED |
TXN-01211 | 2025-02-22 | E-1041   |    -1,609.88 | EUR | SOFTWARE  | APPROVED | reversal of TXN-00199
TXN-00195 | 2025-02-23 | E-1001   |       123.45 | EUR | MEALS     | APPROVED |
TXN-00242 | 2025-02-23 | E-1092   |       882.77 | USD | TRAINING  | APPROVED |
TXN-00243 | 2025-02-23 | E-1022   |       484.16 | USD | TRAINING  | APPROVED |
TXN-00284 | 2025-02-23 | E-1087   |     1,515.43 | EUR | TRAINING  | APPROVED |
TXN-00196 | 2025-02-24 | E-1067   |     3,850.22 | EUR | EQUIPMENT | APPROVED |
TXN-00202 | 2025-02-24 | E-1086   |     4,067.74 | EUR | EQUIPMENT | APPROVED |
TXN-00227 | 2025-02-24 | E-1091   |     2,132.29 | USD | EQUIPMENT | APPROVED |
TXN-00313 | 2025-02-24 | E-1065   |       551.84 | CHF | TRAINING  | APPROVED |
TXN-00365 | 2025-02-24 | E-1041   |     3,281.44 | EUR | EQUIPMENT | APPROVED |
TXN-00374 | 2025-02-24 | E-1026   |       616.77 | EUR | SOFTWARE  | REJECTED |
TXN-00214 | 2025-02-25 | E-1066   |       138.68 | GBP | MEALS     | APPROVED |
TXN-00245 | 2025-02-25 | E-1026   |     2,310.58 | EUR | SOFTWARE  | APPROVED |
TXN-00274 | 2025-02-25 | E-1011   |       442.51 | EUR | CONF      | APPROVED |
TXN-00315 | 2025-02-25 | E-1064   |     5,599.64 | EUR | EQUIPMENT | PENDING  |
TXN-00321 | 2025-02-25 | E-1090   |     1,135.53 | CHF | TRAVEL    | APPROVED |
TXN-00346 | 2025-02-25 | E-1087   |     4,343.06 | GBP | EQUIPMENT | APPROVED |
TXN-00249 | 2025-02-26 | E-1021   |     3,660.63 | EUR | EQUIPMENT | APPROVED |
TXN-00271 | 2025-02-26 | E-1016   |        93.42 | EUR | MEALS     | APPROVED |
TXN-00278 | 2025-02-26 | E-1084   |     1,759.20 | EUR | CONF      | REJECTED |
TXN-00328 | 2025-02-26 | E-1015   |       969.09 | EUR | EQUIPMENT | APPROVED |
TXN-00342 | 2025-02-26 | E-1074   |       634.03 | CHF | TRAVEL    | APPROVED |
TXN-00357 | 2025-02-26 | E-1081   |       455.00 | GBP | CONF      | APPROVED |
TXN-00216 | 2025-02-27 | E-1041   |       871.30 | CHF | CONF      | APPROVED |
TXN-00277 | 2025-02-27 | E-1012   |       451.61 | EUR | TRAVEL    | APPROVED |
TXN-00310 | 2025-02-27 | E-1027   |       575.84 | CHF | CONF      | APPROVED |
TXN-00337 | 2025-02-27 | E-1060   |       177.24 | EUR | SUPPLIES  | APPROVED |
TXN-00341 | 2025-02-27 | E-1006   |       273.25 | EUR | MEALS     | APPROVED |
TXN-00367 | 2025-02-27 | E-1081   |       247.04 | GBP | SUPPLIES  | APPROVED |
TXN-00192 | 2025-02-28 | E-1063   |       912.03 | EUR | TRAVEL    | APPROVED |
TXN-00207 | 2025-02-28 | E-1095   |     1,659.57 | USD | CONF      | APPROVED |
TXN-00259 | 2025-02-28 | E-1044   |       351.36 | USD | SUPPLIES  | APPROVED |
TXN-00320 | 2025-02-28 | E-1057   |     1,781.64 | EUR | TRAINING  | APPROVED |
TXN-00323 | 2025-02-28 | E-1049   |     1,295.72 | CHF | CONF      | APPROVED |
TXN-00330 | 2025-02-28 | E-1066   |       226.46 | EUR | MEALS     | APPROVED |
TXN-00348 | 2025-02-28 | E-1038   |       156.38 | CHF | SUPPLIES  | APPROVED |
TXN-00350 | 2025-02-28 | E-1053   |       221.62 | GBP | MEALS     | APPROVED |
TXN-00370 | 2025-02-28 | E-1080   |       373.63 | EUR | SUPPLIES  | APPROVED |
TXN-01195 | 2025-02-28 | E-1055   |      -713.79 | EUR | CONF      | APPROVED | reversal of TXN-00146
TXN-01204 | 2025-02-28 | E-1091   |    -1,672.56 | EUR | CONF      | APPROVED | reversal of TXN-00008
TXN-01206 | 2025-02-28 | E-1066   |      -138.68 | GBP | MEALS     | APPROVED | reversal of TXN-00214
TXN-00431 | 2025-03-01 | E-1067   |       534.49 | CHF | TRAINING  | APPROVED |
TXN-00480 | 2025-03-01 | E-1096   |       223.35 | EUR | MEALS     | PENDING  |
TXN-00516 | 2025-03-01 | E-1041   |     1,952.91 | GBP | TRAINING  | APPROVED |
TXN-00541 | 2025-03-01 | E-1096   |       264.28 | EUR | SUPPLIES  | APPROVED |
TXN-00443 | 2025-03-02 | E-1036   |        87.86 | EUR | SUPPLIES  | PENDING  |
TXN-00493 | 2025-03-02 | E-1072   |     1,495.98 | GBP | TRAVEL    | APPROVED |
TXN-00494 | 2025-03-02 | E-1081   |     1,841.42 | GBP | SOFTWARE  | REJECTED |
TXN-00543 | 2025-03-02 | E-1068   |       121.72 | GBP | SUPPLIES  | APPROVED |
TXN-00386 | 2025-03-03 | E-1054   |     6,953.29 | EUR | EQUIPMENT | APPROVED |
TXN-00403 | 2025-03-03 | E-1018   |     4,493.72 | USD | EQUIPMENT | APPROVED |
TXN-00409 | 2025-03-03 | E-1023   |     1,690.08 | USD | TRAINING  | APPROVED |
TXN-00426 | 2025-03-03 | E-1042   |       241.28 | EUR | SUPPLIES  | APPROVED |
TXN-00435 | 2025-03-03 | E-1093   |     1,867.54 | USD | SOFTWARE  | APPROVED |
TXN-00448 | 2025-03-03 | E-1060   |     6,735.05 | EUR | EQUIPMENT | APPROVED |
TXN-00482 | 2025-03-03 | E-1063   |       412.63 | EUR | TRAINING  | PENDING  |
TXN-00523 | 2025-03-03 | E-1094   |     1,905.57 | CHF | CONF      | APPROVED |
TXN-00537 | 2025-03-03 | E-1076   |     1,899.77 | GBP | CONF      | APPROVED |
TXN-00560 | 2025-03-03 | E-1001   |     2,185.08 | EUR | SOFTWARE  | APPROVED |
TXN-00383 | 2025-03-04 | E-1091   |       513.69 | EUR | TRAVEL    | APPROVED |
TXN-00408 | 2025-03-04 | E-1067   |     1,978.29 | EUR | SOFTWARE  | APPROVED |
TXN-00413 | 2025-03-04 | E-1078   |     6,401.79 | EUR | EQUIPMENT | APPROVED |
TXN-00424 | 2025-03-04 | E-1071   |     2,016.00 | CHF | SOFTWARE  | APPROVED |
TXN-00440 | 2025-03-04 | E-1001   |     1,384.40 | GBP | CONF      | APPROVED |
TXN-00466 | 2025-03-04 | E-1006   |     1,303.38 | EUR | SOFTWARE  | REJECTED |
TXN-00467 | 2025-03-04 | E-1062   |     1,341.56 | EUR | SOFTWARE  | APPROVED |
TXN-00470 | 2025-03-04 | E-1022   |     1,946.11 | GBP | CONF      | APPROVED |
TXN-00473 | 2025-03-04 | E-1089   |     2,284.72 | GBP | EQUIPMENT | REJECTED |
TXN-00561 | 2025-03-04 | E-1043   |     2,485.81 | EUR | EQUIPMENT | PENDING  |
TXN-00411 | 2025-03-05 | E-1060   |     1,211.61 | CHF | CONF      | PENDING  |
TXN-00430 | 2025-03-05 | E-1092   |     6,398.12 | EUR | EQUIPMENT | PENDING  |
TXN-00450 | 2025-03-05 | E-1014   |       923.27 | GBP | TRAVEL    | PENDING  |
TXN-00515 | 2025-03-05 | E-1096   |     3,878.10 | EUR | EQUIPMENT | PENDING  |
TXN-00545 | 2025-03-05 | E-1023   |     1,374.59 | CHF | CONF      | APPROVED |
TXN-00558 | 2025-03-05 | E-1083   |       598.88 | EUR | TRAVEL    | APPROVED |
TXN-00564 | 2025-03-05 | E-1056   |     6,634.51 | USD | EQUIPMENT | PENDING  |
TXN-00389 | 2025-03-06 | E-1031   |     1,220.89 | EUR | TRAINING  | APPROVED |
TXN-00429 | 2025-03-06 | E-1094   |       181.17 | EUR | MEALS     | PENDING  |
TXN-00437 | 2025-03-06 | E-1076   |       169.02 | USD | SUPPLIES  | APPROVED |
TXN-00453 | 2025-03-06 | E-1056   |     6,369.69 | EUR | EQUIPMENT | APPROVED |
TXN-00461 | 2025-03-06 | E-1075   |       482.29 | USD | SOFTWARE  | APPROVED |
TXN-00507 | 2025-03-06 | E-1062   |       951.89 | EUR | TRAVEL    | APPROVED |
TXN-00567 | 2025-03-06 | E-1079   |       111.91 | GBP | MEALS     | APPROVED |
TXN-00454 | 2025-03-07 | E-1094   |        54.89 | USD | MEALS     | APPROVED |
TXN-00502 | 2025-03-07 | E-1070   |     1,735.36 | USD | SOFTWARE  | PENDING  |
TXN-00512 | 2025-03-07 | E-1019   |     1,155.85 | EUR | TRAVEL    | APPROVED |
TXN-00563 | 2025-03-07 | E-1026   |     1,138.60 | EUR | CONF      | REJECTED |
TXN-00412 | 2025-03-08 | E-1041   |       685.55 | GBP | TRAVEL    | APPROVED |
TXN-00423 | 2025-03-08 | E-1051   |       739.12 | EUR | SOFTWARE  | APPROVED |
TXN-00425 | 2025-03-08 | E-1032   |       545.69 | EUR | TRAINING  | APPROVED |
TXN-00428 | 2025-03-08 | E-1046   |     1,325.31 | USD | TRAINING  | APPROVED |
TXN-00439 | 2025-03-08 | E-1038   |     1,551.45 | USD | TRAINING  | APPROVED |
TXN-00489 | 2025-03-08 | E-1011   |     2,712.01 | EUR | EQUIPMENT | APPROVED |
TXN-00505 | 2025-03-08 | E-1026   |       900.88 | EUR | SOFTWARE  | APPROVED |
TXN-00534 | 2025-03-08 | E-1086   |     1,091.81 | EUR | CONF      | APPROVED |
TXN-00544 | 2025-03-08 | E-1039   |     1,106.97 | GBP | EQUIPMENT | APPROVED |
TXN-00556 | 2025-03-08 | E-1071   |     4,302.39 | EUR | EQUIPMENT | APPROVED |
TXN-00441 | 2025-03-09 | E-1034   |       973.94 | USD | CONF      | APPROVED |
TXN-00447 | 2025-03-09 | E-1036   |       258.09 | USD | MEALS     | APPROVED |
TXN-00455 | 2025-03-09 | E-1021   |       661.04 | GBP | TRAINING  | APPROVED |
TXN-00522 | 2025-03-09 | E-1061   |     1,780.81 | GBP | CONF      | APPROVED |
TXN-00532 | 2025-03-09 | E-1021   |     1,349.60 | GBP | TRAVEL    | APPROVED |
TXN-00533 | 2025-03-09 | E-1021   |     2,124.60 | EUR | SOFTWARE  | APPROVED |
TXN-00394 | 2025-03-10 | E-1025   |        71.07 | GBP | MEALS     | APPROVED |
TXN-00449 | 2025-03-10 | E-1024   |       819.28 | GBP | SOFTWARE  | REJECTED |
TXN-00501 | 2025-03-10 | E-1086   |     1,416.41 | EUR | SOFTWARE  | PENDING  |
TXN-00506 | 2025-03-10 | E-1039   |     1,088.28 | EUR | CONF      | REJECTED |
TXN-00535 | 2025-03-10 | E-1077   |     1,417.92 | EUR | CONF      | APPROVED |
TXN-00555 | 2025-03-10 | E-1042   |       156.05 | EUR | MEALS     | APPROVED |
TXN-00401 | 2025-03-11 | E-1019   |     1,618.04 | EUR | TRAVEL    | APPROVED |
TXN-00491 | 2025-03-11 | E-1018   |     1,173.71 | EUR | SOFTWARE  | APPROVED |
TXN-00509 | 2025-03-11 | E-1031   |       620.44 | EUR | TRAINING  | APPROVED |
TXN-00517 | 2025-03-11 | E-1072   |     1,218.83 | EUR | TRAVEL    | APPROVED |
TXN-00524 | 2025-03-11 | E-1016   |     2,433.12 | CHF | SOFTWARE  | APPROVED |
TXN-00385 | 2025-03-12 | E-1028   |     1,610.22 | GBP | CONF      | APPROVED |
TXN-00400 | 2025-03-12 | E-1015   |     1,093.39 | EUR | CONF      | APPROVED |
TXN-00404 | 2025-03-12 | E-1010   |     3,602.18 | EUR | EQUIPMENT | APPROVED |
TXN-00410 | 2025-03-12 | E-1026   |       740.80 | EUR | SOFTWARE  | APPROVED |
TXN-00414 | 2025-03-12 | E-1041   |       795.40 | EUR | TRAVEL    | APPROVED |
TXN-00422 | 2025-03-12 | E-1071   |        83.01 | EUR | MEALS     | APPROVED |
TXN-00471 | 2025-03-12 | E-1089   |       310.24 | EUR | SUPPLIES  | PENDING  |
TXN-00476 | 2025-03-12 | E-1088   |     1,096.45 | CHF | CONF      | APPROVED |
TXN-00520 | 2025-03-12 | E-1006   |     1,626.07 | EUR | SOFTWARE  | APPROVED |
TXN-00552 | 2025-03-12 | E-1019   |       852.64 | EUR | TRAVEL    | APPROVED |
TXN-01218 | 2025-03-12 | E-1077   |    -1,417.92 | EUR | CONF      | APPROVED | reversal of TXN-00535
TXN-01222 | 2025-03-12 | E-1056   |    -6,369.69 | EUR | EQUIPMENT | APPROVED | reversal of TXN-00453
TXN-00393 | 2025-03-13 | E-1081   |       259.23 | CHF | TRAINING  | REJECTED |
TXN-00398 | 2025-03-13 | E-1031   |       217.67 | USD | MEALS     | APPROVED |
TXN-00402 | 2025-03-13 | E-1006   |     1,771.22 | EUR | SOFTWARE  | APPROVED |
TXN-00415 | 2025-03-13 | E-1071   |        87.32 | EUR | SUPPLIES  | REJECTED |
TXN-00499 | 2025-03-13 | E-1027   |       221.41 | USD | MEALS     | APPROVED |
TXN-00514 | 2025-03-13 | E-1072   |     1,132.73 | EUR | CONF      | APPROVED |
TXN-00521 | 2025-03-13 | E-1059   |     2,069.66 | USD | TRAINING  | APPROVED |
TXN-00528 | 2025-03-13 | E-1076   |     2,153.86 | EUR | TRAINING  | APPROVED |
TXN-00540 | 2025-03-13 | E-1037   |       131.05 | GBP | SUPPLIES  | APPROVED |
TXN-00542 | 2025-03-13 | E-1033   |     1,365.46 | GBP | TRAINING  | APPROVED |
TXN-00550 | 2025-03-13 | E-1010   |       900.76 | CHF | CONF      | APPROVED |
TXN-01198 | 2025-03-13 | E-1076   |      -169.02 | USD | SUPPLIES  | APPROVED | reversal of TXN-00437
TXN-00382 | 2025-03-14 | E-1036   |     1,768.44 | USD | CONF      | APPROVED |
TXN-00432 | 2025-03-14 | E-1017   |     1,508.26 | EUR | CONF      | APPROVED |
TXN-00456 | 2025-03-14 | E-1012   |     1,676.52 | EUR | TRAINING  | APPROVED |
TXN-00538 | 2025-03-14 | E-1072   |     6,724.08 | EUR | EQUIPMENT | APPROVED |
TXN-00566 | 2025-03-14 | E-1045   |     1,287.22 | CHF | TRAVEL    | APPROVED |
TXN-00395 | 2025-03-15 | E-1019   |       328.90 | USD | CONF      | APPROVED |
TXN-00434 | 2025-03-15 | E-1029   |     1,350.29 | CHF | CONF      | PENDING  |
TXN-00472 | 2025-03-15 | E-1011   |       261.43 | CHF | SUPPLIES  | APPROVED |
TXN-00474 | 2025-03-15 | E-1091   |        85.80 | CHF | MEALS     | APPROVED |
TXN-00485 | 2025-03-15 | E-1086   |       373.01 | EUR | SUPPLIES  | APPROVED |
TXN-00487 | 2025-03-15 | E-1096   |     1,085.15 | EUR | TRAVEL    | APPROVED |
TXN-00536 | 2025-03-15 | E-1081   |     1,414.72 | USD | CONF      | APPROVED |
TXN-00565 | 2025-03-15 | E-1011   |     3,032.21 | EUR | EQUIPMENT | APPROVED |
TXN-00396 | 2025-03-16 | E-1074   |     3,372.10 | EUR | EQUIPMENT | APPROVED |
TXN-00399 | 2025-03-16 | E-1008   |     2,456.05 | EUR | SOFTWARE  | APPROVED |
TXN-00442 | 2025-03-16 | E-1011   |       376.78 | CHF | SUPPLIES  | APPROVED |
TXN-00529 | 2025-03-16 | E-1021   |       976.04 | CHF | TRAVEL    | APPROVED |
TXN-00546 | 2025-03-16 | E-1082   |       659.03 | CHF | TRAINING  | APPROVED |
TXN-00504 | 2025-03-17 | E-1011   |       378.72 | USD | SUPPLIES  | APPROVED |
TXN-00549 | 2025-03-17 | E-1015   |       403.39 | USD | SUPPLIES  | APPROVED |
TXN-00388 | 2025-03-18 | E-1030   |       156.98 | EUR | MEALS     | APPROVED |
TXN-00418 | 2025-03-18 | E-1081   |     1,449.62 | EUR | TRAVEL    | APPROVED |
TXN-00445 | 2025-03-18 | E-1089   |     1,297.22 | CHF | CONF      | APPROVED |
TXN-00464 | 2025-03-18 | E-1066   |       275.69 | EUR | MEALS     | APPROVED |
TXN-00508 | 2025-03-18 | E-1085   |       971.42 | EUR | TRAVEL    | APPROVED |
TXN-00539 | 2025-03-18 | E-1069   |     1,145.86 | EUR | CONF      | PENDING  |
TXN-00481 | 2025-03-19 | E-1041   |       857.98 | EUR | TRAINING  | APPROVED |
TXN-00486 | 2025-03-19 | E-1056   |       650.56 | EUR | TRAINING  | APPROVED |
TXN-00503 | 2025-03-19 | E-1056   |     1,886.54 | GBP | CONF      | APPROVED |
TXN-00513 | 2025-03-19 | E-1019   |       336.37 | EUR | SUPPLIES  | APPROVED |
TXN-00531 | 2025-03-19 | E-1078   |     7,542.42 | EUR | EQUIPMENT | REJECTED |
TXN-00551 | 2025-03-19 | E-1096   |     1,582.97 | EUR | CONF      | APPROVED |
TXN-00391 | 2025-03-20 | E-1079   |       164.79 | EUR | SUPPLIES  | APPROVED |
TXN-00465 | 2025-03-20 | E-1056   |       520.90 | EUR | TRAVEL    | APPROVED |
TXN-00469 | 2025-03-20 | E-1041   |       124.77 | EUR | MEALS     | APPROVED |
TXN-00500 | 2025-03-20 | E-1060   |       664.59 | EUR | SOFTWARE  | APPROVED |
TXN-00519 | 2025-03-20 | E-1082   |       339.09 | EUR | SUPPLIES  | APPROVED |
TXN-00548 | 2025-03-20 | E-1082   |     1,744.02 | USD | TRAINING  | APPROVED |
TXN-01193 | 2025-03-20 | E-1076   |    -2,153.86 | EUR | TRAINING  | APPROVED | reversal of TXN-00528
TXN-01205 | 2025-03-20 | E-1018   |    -1,173.71 | EUR | SOFTWARE  | APPROVED | reversal of TXN-00491
TXN-00427 | 2025-03-21 | E-1081   |       892.11 | GBP | SOFTWARE  | APPROVED |
TXN-00458 | 2025-03-21 | E-1056   |       210.93 | CHF | MEALS     | REJECTED |
TXN-00459 | 2025-03-21 | E-1046   |       221.09 | CHF | SUPPLIES  | APPROVED |
TXN-00462 | 2025-03-21 | E-1009   |       155.07 | CHF | MEALS     | APPROVED |
TXN-00483 | 2025-03-21 | E-1091   |     2,137.00 | EUR | TRAINING  | APPROVED |
TXN-00562 | 2025-03-21 | E-1042   |     1,810.45 | EUR | CONF      | APPROVED |
TXN-00417 | 2025-03-22 | E-1082   |        61.49 | CHF | MEALS     | APPROVED |
TXN-00438 | 2025-03-22 | E-1026   |     9,121.83 | USD | EQUIPMENT | APPROVED |
TXN-00488 | 2025-03-22 | E-1066   |     1,771.77 | GBP | CONF      | APPROVED |
TXN-00497 | 2025-03-22 | E-1032   |       160.60 | EUR | MEALS     | APPROVED |
TXN-00392 | 2025-03-23 | E-1053   |       126.36 | EUR | SUPPLIES  | APPROVED |
TXN-00416 | 2025-03-23 | E-1072   |     2,428.06 | USD | SOFTWARE  | APPROVED |
TXN-00477 | 2025-03-23 | E-1016   |       750.22 | CHF | SOFTWARE  | APPROVED |
TXN-00490 | 2025-03-23 | E-1041   |       353.62 | EUR | SUPPLIES  | APPROVED |
TXN-00496 | 2025-03-23 | E-1023   |     1,412.23 | GBP | TRAVEL    | APPROVED |
TXN-00511 | 2025-03-23 | E-1006   |     6,656.08 | GBP | EQUIPMENT | APPROVED |
TXN-00406 | 2025-03-24 | E-1032   |       111.70 | EUR | SUPPLIES  | APPROVED |
TXN-00436 | 2025-03-24 | E-1029   |        75.79 | EUR | MEALS     | PENDING  |
TXN-00444 | 2025-03-24 | E-1069   |        76.59 | GBP | SUPPLIES  | APPROVED |
TXN-00457 | 2025-03-24 | E-1085   |     4,022.46 | USD | EQUIPMENT | APPROVED |
TXN-00510 | 2025-03-24 | E-1026   |       261.83 | EUR | MEALS     | REJECTED |
TXN-00518 | 2025-03-24 | E-1066   |       839.60 | GBP | TRAINING  | APPROVED |
TXN-00526 | 2025-03-24 | E-1068   |       185.97 | CHF | MEALS     | PENDING  |
TXN-00421 | 2025-03-25 | E-1061   |     2,037.74 | EUR | SOFTWARE  | APPROVED |
TXN-00433 | 2025-03-25 | E-1041   |     1,976.98 | GBP | EQUIPMENT | APPROVED |
TXN-00475 | 2025-03-25 | E-1021   |       966.64 | EUR | TRAINING  | APPROVED |
TXN-01209 | 2025-03-25 | E-1008   |    -2,456.05 | EUR | SOFTWARE  | APPROVED | reversal of TXN-00399
TXN-00397 | 2025-03-26 | E-1036   |       168.18 | EUR | SUPPLIES  | APPROVED |
TXN-00446 | 2025-03-26 | E-1037   |       190.88 | EUR | MEALS     | APPROVED |
TXN-00452 | 2025-03-26 | E-1036   |     1,421.40 | EUR | TRAVEL    | APPROVED |
TXN-00559 | 2025-03-26 | E-1058   |     3,951.76 | EUR | EQUIPMENT | PENDING  |
TXN-00568 | 2025-03-26 | E-1029   |       249.30 | EUR | MEALS     | APPROVED |
TXN-00419 | 2025-03-27 | E-1076   |     7,917.53 | EUR | EQUIPMENT | APPROVED |
TXN-00460 | 2025-03-27 | E-1057   |       264.60 | EUR | TRAINING  | APPROVED |
TXN-00479 | 2025-03-27 | E-1002   |       920.22 | EUR | SOFTWARE  | APPROVED |
TXN-00495 | 2025-03-27 | E-1048   |       394.28 | CHF | SUPPLIES  | APPROVED |
TXN-00498 | 2025-03-27 | E-1073   |     1,459.64 | EUR | TRAINING  | APPROVED |
TXN-00553 | 2025-03-27 | E-1051   |     1,345.38 | EUR | SOFTWARE  | APPROVED |
TXN-00557 | 2025-03-27 | E-1026   |     1,849.65 | EUR | SOFTWARE  | APPROVED |
TXN-00381 | 2025-03-28 | E-1056   |     8,917.55 | EUR | EQUIPMENT | PENDING  |
TXN-00384 | 2025-03-28 | E-1011   |       314.07 | USD | TRAVEL    | APPROVED |
TXN-00390 | 2025-03-28 | E-1066   |       233.30 | GBP | MEALS     | APPROVED |
